LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
58m         Warning   Unhealthy           pod/kube-state-metrics-595d66d74c-rdmp8   Readiness probe failed: Get "http://10.244.0.52:8080/healthz": dial tcp 10.244.0.52:8080: connect: connection refused
57m         Warning   Unhealthy           pod/grafana-5c44645c77-7q7lk              Startup probe failed: Get "http://10.244.0.46:3000/api/health": dial tcp 10.244.0.46:3000: connect: connection refused
57m         Normal    NoPods              poddisruptionbudget/juliopedidoapi        No matching pods found
56m         Normal    Pulled              pod/flyway-migrate-gx4xk                  Successfully pulled image "flyway/flyway:10.17.3" in 2m6.379s (8m3.244s including waiting). Image size: 450472109 bytes.
56m         Normal    Created             pod/flyway-migrate-gx4xk                  Created container: flyway
56m         Normal    Started             pod/flyway-migrate-gx4xk                  Started container flyway
56m         Normal    Killing             pod/flyway-migrate-gx4xk                  Stopping container flyway
54m         Normal    NoPods              poddisruptionbudget/juliopedidoapi        No matching pods found
54m         Warning   Unhealthy           pod/elasticsearch-7c6748c55b-hv67b        Startup probe failed: Get "http://10.244.0.45:9200/": dial tcp 10.244.0.45:9200: connect: connection refused
52m         Normal    Pulled              pod/sqlserver-init-9gxjw                  Successfully pulled image "mcr.microsoft.com/mssql/server:2022-latest" in 4m11.654s (12m14.798s including waiting). Image size: 604241716 bytes.
52m         Normal    Created             pod/sqlserver-init-9gxjw                  Created container: bootstrap
52m         Normal    Started             pod/sqlserver-init-9gxjw                  Started container bootstrap
52m         Normal    Killing             pod/sqlserver-init-9gxjw                  Stopping container bootstrap
52m         Normal    NoPods              poddisruptionbudget/juliopedidoapi        No matching pods found
52m         Normal    SuccessfulDelete    job/flyway-migrate                        Deleted pod: flyway-migrate-ld9qv
52m         Normal    SuccessfulDelete    job/sqlserver-init                        Deleted pod: sqlserver-init-6jl9q
52m         Normal    Created             pod/prometheus-68d797f6cf-lgr6f           Created container: init-prometheus-volume
52m         Normal    Pulled              pod/prometheus-68d797f6cf-lgr6f           Successfully pulled image "busybox:1.36" in 12.111s (12m25.528s including waiting). Image size: 2217006 bytes.
